return_id,order_id,sku_id,return_reason,return_note,return_condition,return_date,days_to_return,city,state,region,zip_code,cost_of_return
R0045,ORD32241,WE-MIRROR-3,defective_or_damaged,slight imperfection in glass,like_new,2025-12-22,31.0,San Francisco,CA,West,94102.0,148.38
R0046,ORD39444,WE-BENCH-21,no_longer_needed,moved house,open_box,2025-10-30,20.0,Boston,MA,East,2101.0,134.74
R0047,ORD92544,WE-TBL-04,defective_or_damaged,surface scratch on top,open_box,2026-01-01,27.0,Los Angeles,CA,West,90001.0,191.83
R0048,ORD38683,WE-LAMP-07,no_longer_needed,changed my mind on the style,open_box,2026-04-01,28.0,New York,NY,East,10001.0,200.41
R0049,ORD70901,WE-RUG-99,does_not_match_description,much more orange than terracotta,damaged,2025-12-14,9.0,Chicago,IL,North,60601.0,215.0
R0050,ORD72216,WE-SHELF-14,does_not_match_description,not the right white for my walls,defective,2025-12-18,11.0,Charlotte,NC,South,28201.0,145.92
R0051,ORD47450,WE-CHAIR-05,defective_or_damaged,size not right,open_box,2025-12-14,5.0,Austin,TX,South,78701.0,147.17
R0052,ORD38043,WE-BED-33,does_not_match_description,ordered by mistake,like_new,2025-10-15,10.0,Portland,OR,West,97201.0,161.49
R0053,ORD12560,WE-BED-33,no_longer_needed,no longer need it,defective,2025-12-17,45.0,Portland,OR,West,97201.0,167.7
R0054,ORD89069,WE-BED-33,wrong_size,didn't fit through door,open_box,2025-12-19,35.0,Portland,OR,West,97201.0,168.82
R0055,ORD71261,WE-DESK-11,defective_or_damaged,wobbly leg,open_box,2025-10-08,11.0,Milwaukee,WI,North,53202.0,218.07
R0056,ORD66179,WE-RUG-99,does_not_match_description,colour is off from photos,open_box,2026-04-21,42.0,Chicago,IL,North,60601.0,206.69
R0057,ORD59692,WE-SOFA-22,wrong_size,much larger than expected,damaged,2026-01-29,22.0,Miami,FL,East,33101.0,195.2
R0058,ORD39389,WE-LAMP-07,no_longer_needed,changed my mind on the style,like_new,2026-04-10,23.0,Atlanta,GA,East,30301.0,198.12
R0059,ORD29973,WE-BENCH-21,no_longer_needed,no longer needed,open_box,2026-05-05,40.0,Boston,MA,East,2101.0,132.62
R0060,ORD89415,WE-BENCH-21,no_longer_needed,no longer needed,like_new,2026-01-07,11.0,Philadelphia,PA,East,19101.0,197.78
R0061,ORD61990,WE-SOFA-22,does_not_match_description,changed my mind,open_box,2025-11-03,25.0,Atlanta,GA,East,30301.0,127.6
R0062,ORD15383,WE-BENCH-21,no_longer_needed,cancelled renovation project,damaged,2026-04-07,37.0,Atlanta,GA,East,30301.0,173.27
R0063,ORD23833,WE-BENCH-21,no_longer_needed,cancelled renovation project,defective,2026-01-15,32.0,New York,NY,East,10001.0,216.08
R0064,ORD90728,WE-BENCH-21,no_longer_needed,ordered by mistake,defective,2025-11-03,18.0,Atlanta,GA,East,30301.0,166.49
R0065,ORD41963,WE-MIRROR-3,defective_or_damaged,frame had minor dent,defective,2026-02-17,29.0,Los Angeles,CA,West,90001.0,176.98
R0066,ORD37802,WE-BENCH-21,no_longer_needed,no longer needed,damaged,2026-03-17,32.0,Philadelphia,PA,East,19101.0,199.78
R0067,ORD77715,WE-BED-33,wrong_size,larger than I imagined,open_box,2025-11-10,1.0,Seattle,WA,West,98101.0,128.56
R0068,ORD22196,WE-LAMP-07,no_longer_needed,changed my mind on the style,damaged,2025-12-09,2.0,Miami,FL,East,33101.0,142.16
R0069,ORD82140,WE-CHAIR-05,does_not_match_description,finish looks cheap not antique,damaged,2026-01-30,28.0,Charlotte,NC,South,28201.0,155.18
R0070,ORD80236,WE-SHELF-14,does_not_match_description,not the right white for my walls,open_box,2026-01-18,8.0,Dallas,TX,South,75201.0,139.15
R0071,ORD57301,WE-SHELF-14,does_not_match_description,not the right white for my walls,open_box,2026-01-30,15.0,Dallas,TX,South,75201.0,150.23
R0072,ORD26551,WE-RUG-99,does_not_match_description,much more orange than terracotta,defective,2026-03-02,45.0,Columbus,OH,North,43201.0,130.26
R0073,ORD43092,WE-TBL-04,defective_or_damaged,surface scratch on top,defective,2026-02-16,4.0,Seattle,WA,West,98101.0,131.41
R0074,ORD83772,WE-TABLE-88,does_not_match_description,colour looked different in real life,damaged,2026-03-03,10.0,Los Angeles,CA,West,90001.0,128.52
R0075,ORD59856,WE-CHAIR-05,does_not_match_description,finish looks cheap not antique,defective,2026-03-08,34.0,Charlotte,NC,South,28201.0,210.85
R0076,ORD37235,WE-DESK-11,no_longer_needed,colour slightly different,open_box,2025-11-02,7.0,Chicago,IL,North,60601.0,146.46
R0077,ORD69048,WE-TABLE-88,does_not_match_description,colour looked different in real life,defective,2026-04-27,27.0,San Francisco,CA,West,94102.0,149.13
R0078,ORD40595,WE-CHAIR-05,does_not_match_description,finish looks cheap not antique,damaged,2026-04-26,44.0,Nashville,TN,South,37201.0,198.78
R0079,ORD29528,WE-BENCH-21,no_longer_needed,no longer needed,damaged,2026-03-16,42.0,Atlanta,GA,East,30301.0,202.66
R0080,ORD26299,WE-TABLE-88,does_not_match_description,looks grey not warm brown,defective,2026-02-15,29.0,Denver,CO,West,80202.0,188.87
R0081,ORD89129,WE-LAMP-07,no_longer_needed,size not right,damaged,2026-01-01,21.0,New York,NY,East,10001.0,122.59
R0082,ORD95394,WE-CHAIR-05,does_not_match_description,colour slightly different,defective,2026-01-04,34.0,Dallas,TX,South,75201.0,211.61
R0083,ORD53687,WE-SOFA-22,no_longer_needed,size not right,damaged,2026-01-28,27.0,Miami,FL,East,33101.0,187.01
R0084,ORD69614,WE-SOFA-22,wrong_size,sofa is huge compared to the listing,like_new,2025-11-14,3.0,Miami,FL,East,33101.0,151.45
R0085,ORD70552,WE-BED-33,wrong_size,didn't fit through door,defective,2025-11-18,35.0,Los Angeles,CA,West,90001.0,125.42
R0086,ORD81987,WE-RUG-99,does_not_match_description,colour is off from photos,open_box,2026-02-25,18.0,Chicago,IL,North,60601.0,212.77
R0087,ORD11792,WE-SHELF-14,no_longer_needed,home renovation cancelled,defective,2026-02-16,36.0,Dallas,TX,South,75201.0,129.32
R0088,ORD76698,WE-TABLE-88,does_not_match_description,colour looked different in real life,damaged,2025-12-13,19.0,San Francisco,CA,West,94102.0,161.55
R0089,ORD76616,WE-SHELF-14,wrong_size,size not right,open_box,2026-03-22,39.0,Nashville,TN,South,37201.0,206.4
R0090,ORD47072,WE-DESK-11,no_longer_needed,colour slightly different,damaged,2026-01-23,1.0,Columbus,OH,North,43201.0,203.75
R0091,ORD82340,WE-MIRROR-3,no_longer_needed,ordered by mistake,defective,2026-01-24,22.0,Portland,OR,West,97201.0,165.53
R0092,ORD71993,WE-BED-33,wrong_size,size not right,defective,2026-04-10,21.0,Portland,OR,West,97201.0,158.61
R0093,ORD53515,WE-BENCH-21,wrong_size,size not right,like_new,2025-12-31,38.0,Boston,MA,East,2101.0,207.42
R0094,ORD19807,WE-SHELF-14,no_longer_needed,home renovation cancelled,defective,2025-10-25,10.0,Nashville,TN,South,37201.0,198.15
R0095,ORD79942,WE-DESK-11,defective_or_damaged,slight scratch on arrival,defective,2026-02-19,44.0,Chicago,IL,North,60601.0,215.41
R0096,ORD47667,WE-BENCH-21,no_longer_needed,changed my mind,open_box,2025-12-04,44.0,Boston,MA,East,2101.0,194.68
R0097,ORD52516,WE-LAMP-07,does_not_match_description,size not right,like_new,2026-03-27,3.0,Philadelphia,PA,East,19101.0,149.34
R0098,ORD32280,WE-BED-33,wrong_size,headboard too tall,open_box,2025-10-20,12.0,Denver,CO,West,80202.0,127.9
R0099,ORD70443,WE-LAMP-07,no_longer_needed,changed my mind on the style,damaged,2026-03-10,15.0,Atlanta,GA,East,30301.0,165.96
R0100,ORD67898,WE-BENCH-21,no_longer_needed,moved house,damaged,2026-02-24,5.0,Atlanta,GA,East,30301.0,218.77
R0101,ORD60422,WE-DESK-11,defective_or_damaged,drawer doesn't close smoothly,defective,2026-01-26,13.0,Milwaukee,WI,North,53202.0,130.67
R0102,ORD61879,WE-LAMP-07,no_longer_needed,"arrived broken, not worth fixing",damaged,2026-05-08,43.0,Philadelphia,PA,East,19101.0,120.81
R0103,ORD56179,WE-BENCH-21,does_not_match_description,size not right,open_box,2026-03-12,39.0,Philadelphia,PA,East,19101.0,183.66
R0104,ORD14373,WE-MIRROR-3,defective_or_damaged,frame had minor dent,damaged,2026-02-09,29.0,Los Angeles,CA,West,90001.0,193.24
R0105,ORD79579,WE-TABLE-88,defective_or_damaged,size not right,damaged,2025-12-07,24.0,San Francisco,CA,West,94102.0,203.05
R0106,ORD19869,WE-DESK-11,no_longer_needed,colour slightly different,open_box,2026-04-01,30.0,Detroit,MI,North,48201.0,195.42
R0107,ORD80329,WE-CHAIR-05,no_longer_needed,colour slightly different,like_new,2026-04-14,17.0,Nashville,TN,South,37201.0,165.48
R0108,ORD40647,WE-BENCH-21,defective_or_damaged,size not right,defective,2026-04-17,44.0,Philadelphia,PA,East,19101.0,122.5
R0109,ORD95097,WE-RUG-99,does_not_match_description,much more orange than terracotta,defective,2025-10-23,20.0,Milwaukee,WI,North,53202.0,131.67
R0110,ORD60940,WE-TBL-04,defective_or_damaged,size not right,defective,2025-11-23,9.0,San Francisco,CA,West,94102.0,157.1
R0111,ORD63492,WE-RUG-99,does_not_match_description,much more orange than terracotta,damaged,2026-01-05,40.0,Chicago,IL,North,60601.0,123.27
R0112,ORD58147,WE-BED-33,wrong_size,didn't fit through door,damaged,2026-04-19,44.0,Seattle,WA,West,98101.0,126.06
R0113,ORD37801,WE-DESK-11,defective_or_damaged,wobbly leg,like_new,2026-04-20,43.0,Milwaukee,WI,North,53202.0,125.06
R0114,ORD37152,WE-BED-33,wrong_size,headboard too tall,open_box,2026-04-19,36.0,San Francisco,CA,West,94102.0,201.31
R0115,ORD28964,WE-CHAIR-05,does_not_match_description,brass looks too yellow in person,open_box,2026-04-18,18.0,Charlotte,NC,South,28201.0,174.02
R0116,ORD52437,WE-SOFA-22,wrong_size,too big for my living room,like_new,2026-03-09,38.0,Philadelphia,PA,East,19101.0,137.42
R0117,ORD57453,WE-TBL-04,defective_or_damaged,surface scratch on top,like_new,2025-12-29,29.0,Los Angeles,CA,West,90001.0,165.2
R0118,ORD62640,WE-CHAIR-05,does_not_match_description,colour slightly different,defective,2026-04-16,31.0,Houston,TX,South,77001.0,188.61
R0119,ORD18609,WE-SHELF-14,no_longer_needed,changed my mind,open_box,2025-11-06,10.0,Austin,TX,South,78701.0,147.5
R0120,ORD69469,WE-BENCH-21,no_longer_needed,cancelled renovation project,defective,2025-12-05,19.0,Atlanta,GA,East,30301.0,129.92
R0121,ORD69441,WE-TABLE-88,wrong_size,size not right,defective,2026-01-07,22.0,San Francisco,CA,West,94102.0,161.6
R0122,ORD72163,WE-TABLE-88,does_not_match_description,looks grey not warm brown,like_new,2026-04-05,44.0,Seattle,WA,West,98101.0,129.12
R0123,ORD17861,WE-TABLE-88,does_not_match_description,colour looked different in real life,damaged,2026-04-03,36.0,Seattle,WA,West,98101.0,187.0
R0124,ORD47700,WE-LAMP-07,no_longer_needed,"arrived broken, not worth fixing",damaged,2025-10-02,4.0,Miami,FL,East,33101.0,155.16
R0125,ORD82910,WE-MIRROR-3,defective_or_damaged,frame had minor dent,damaged,2026-03-27,23.0,San Francisco,CA,West,94102.0,131.49
R0126,ORD94239,WE-DESK-11,defective_or_damaged,drawer doesn't close smoothly,like_new,2025-12-08,44.0,Columbus,OH,North,43201.0,180.9
R0127,ORD10800,WE-BENCH-21,defective_or_damaged,changed my mind,open_box,2026-01-27,23.0,Philadelphia,PA,East,19101.0,206.99
R0128,ORD38197,WE-MIRROR-3,defective_or_damaged,frame had minor dent,defective,2026-04-11,34.0,Los Angeles,CA,West,90001.0,161.98
R0129,ORD16895,WE-BED-33,wrong_size,didn't fit through door,open_box,2025-11-05,6.0,Denver,CO,West,80202.0,135.74
R0130,ORD67939,WE-MIRROR-3,defective_or_damaged,frame had minor dent,defective,2026-01-05,39.0,Portland,OR,West,97201.0,147.32
R0131,ORD97442,WE-RUG-99,does_not_match_description,colour is off from photos,damaged,2025-12-31,34.0,Columbus,OH,North,43201.0,124.54
R0132,ORD47938,WE-LAMP-07,does_not_match_description,changed my mind,damaged,2026-03-13,17.0,Boston,MA,East,2101.0,132.0
R0133,ORD97562,WE-SHELF-14,wrong_size,ordered by mistake,damaged,2025-12-29,36.0,Dallas,TX,South,75201.0,127.21
R0134,ORD85156,WE-TBL-04,defective_or_damaged,surface scratch on top,defective,2025-12-02,28.0,Seattle,WA,West,98101.0,190.95
R0135,ORD57428,WE-LAMP-07,no_longer_needed,moved house,like_new,2025-11-23,30.0,Boston,MA,East,2101.0,163.67
R0136,ORD54500,WE-TABLE-88,does_not_match_description,warmer in the photo than in person,open_box,2026-01-09,20.0,Los Angeles,CA,West,90001.0,153.31
R0137,ORD56019,WE-SOFA-22,wrong_size,sofa is huge compared to the listing,open_box,2026-03-05,23.0,Atlanta,GA,East,30301.0,143.63
R0138,ORD74764,WE-SOFA-22,wrong_size,too big for my living room,defective,2026-03-27,41.0,New York,NY,East,10001.0,195.44
R0139,ORD18950,WE-MIRROR-3,defective_or_damaged,slight imperfection in glass,defective,2026-03-22,29.0,Seattle,WA,West,98101.0,164.22
R0140,ORD14929,WE-DESK-11,does_not_match_description,colour slightly different,like_new,2026-01-01,29.0,Detroit,MI,North,48201.0,156.87
R0141,ORD86064,WE-DESK-11,defective_or_damaged,wobbly leg,like_new,2026-01-22,30.0,Columbus,OH,North,43201.0,164.97
R0142,ORD69050,WE-MIRROR-3,defective_or_damaged,slight imperfection in glass,like_new,2026-02-25,4.0,Denver,CO,West,80202.0,201.1
R0143,ORD89928,WE-BED-33,no_longer_needed,no longer need it,open_box,2025-12-21,34.0,Portland,OR,West,97201.0,156.39
R0144,ORD53863,WE-DESK-11,defective_or_damaged,drawer doesn't close smoothly,like_new,2025-12-02,42.0,Chicago,IL,North,60601.0,152.97
R0145,ORD20682,WE-RUG-99,does_not_match_description,colour is off from photos,open_box,2026-03-15,22.0,Columbus,OH,North,43201.0,211.67
R0146,ORD59372,WE-DESK-11,no_longer_needed,ordered by mistake,damaged,2026-02-16,36.0,Chicago,IL,North,60601.0,201.32
R0147,ORD33627,WE-BENCH-21,does_not_match_description,size not right,open_box,2026-01-18,20.0,New York,NY,East,10001.0,154.17
R0148,ORD80748,WE-SHELF-14,does_not_match_description,more yellow than white,like_new,2026-04-08,33.0,Austin,TX,South,78701.0,186.19
R0149,ORD31697,WE-MIRROR-3,defective_or_damaged,slight imperfection in glass,defective,2025-11-14,40.0,San Francisco,CA,West,94102.0,124.37
R0150,ORD40671,WE-BED-33,wrong_size,headboard too tall,open_box,2026-02-16,29.0,Denver,CO,West,80202.0,150.95
R0151,ORD46932,WE-SHELF-14,wrong_size,colour slightly different,defective,2026-01-08,30.0,Charlotte,NC,South,28201.0,170.29
R0152,ORD58655,WE-LAMP-07,wrong_size,ordered by mistake,like_new,2025-11-18,31.0,New York,NY,East,10001.0,191.14
R0153,ORD29313,WE-RUG-99,defective_or_damaged,changed my mind,defective,2026-01-08,33.0,Detroit,MI,North,48201.0,129.17
R0154,ORD40903,WE-CHAIR-05,defective_or_damaged,changed my mind,defective,2025-12-17,24.0,Nashville,TN,South,37201.0,219.45
R0155,ORD15020,WE-BED-33,wrong_size,didn't fit through door,damaged,2026-03-03,9.0,Seattle,WA,West,98101.0,211.74
R0156,ORD10688,WE-SHELF-14,does_not_match_description,more yellow than white,like_new,2026-01-16,40.0,Nashville,TN,South,37201.0,121.9
R0157,ORD16258,WE-CHAIR-05,no_longer_needed,changed my mind,open_box,2026-01-21,8.0,Dallas,TX,South,75201.0,161.98
R0158,ORD12154,WE-MIRROR-3,defective_or_damaged,frame had minor dent,open_box,2025-12-04,35.0,Portland,OR,West,97201.0,191.85
R0159,ORD97080,WE-DESK-11,defective_or_damaged,slight scratch on arrival,like_new,2025-12-27,12.0,Columbus,OH,North,43201.0,172.35
R0160,ORD61177,WE-BED-33,wrong_size,larger than I imagined,defective,2025-11-12,2.0,Denver,CO,West,80202.0,124.35
R0161,ORD96127,WE-LAMP-07,defective_or_damaged,changed my mind,like_new,2026-01-18,16.0,New York,NY,East,10001.0,197.15
R0162,ORD72722,WE-BED-33,wrong_size,didn't fit through door,open_box,2025-11-06,30.0,San Francisco,CA,West,94102.0,201.15
R0163,ORD51365,WE-TABLE-88,no_longer_needed,changed my mind,damaged,2026-02-11,3.0,Los Angeles,CA,West,90001.0,171.54
R0164,ORD16265,WE-RUG-99,does_not_match_description,much more orange than terracotta,damaged,2026-02-09,23.0,Minneapolis,MN,North,55401.0,147.32
R0165,ORD75038,WE-BED-33,wrong_size,didn't fit through door,defective,2026-01-16,12.0,Portland,OR,West,97201.0,156.73
R0166,ORD33652,WE-RUG-99,does_not_match_description,much more orange than terracotta,damaged,2026-01-19,39.0,Chicago,IL,North,60601.0,152.12
R0167,ORD31842,WE-TABLE-88,does_not_match_description,looks grey not warm brown,defective,2025-10-27,28.0,Denver,CO,West,80202.0,155.15
R0168,ORD93560,WE-TBL-04,defective_or_damaged,size not right,defective,2026-04-24,43.0,Los Angeles,CA,West,90001.0,156.33
R0169,ORD14561,WE-BENCH-21,no_longer_needed,no longer needed,open_box,2025-11-07,29.0,Atlanta,GA,East,30301.0,126.72
R0170,ORD99006,WE-BENCH-21,no_longer_needed,moved house,defective,2025-11-07,10.0,New York,NY,East,10001.0,214.88
R0171,ORD51207,WE-BED-33,wrong_size,headboard too tall,damaged,2026-01-23,26.0,Denver,CO,West,80202.0,144.96
R0172,ORD44311,WE-TABLE-88,does_not_match_description,colour looked different in real life,damaged,2025-11-16,8.0,Portland,OR,West,97201.0,190.4
R0173,ORD32630,WE-CHAIR-05,defective_or_damaged,size not right,defective,2026-04-11,29.0,Dallas,TX,South,75201.0,219.73
R0174,ORD49315,WE-BENCH-21,defective_or_damaged,colour slightly different,open_box,2025-12-02,19.0,Atlanta,GA,East,30301.0,191.18
R0175,ORD41029,WE-BENCH-21,no_longer_needed,moved house,defective,2026-02-17,9.0,New York,NY,East,10001.0,122.63
R0176,ORD21300,WE-RUG-99,does_not_match_description,colour is off from photos,like_new,2026-04-07,40.0,Columbus,OH,North,43201.0,150.93
R0177,ORD94192,WE-SHELF-14,does_not_match_description,not the right white for my walls,like_new,2026-03-20,21.0,Houston,TX,South,77001.0,165.0
R0178,ORD33850,WE-BENCH-21,no_longer_needed,no longer needed,open_box,2025-11-26,38.0,Atlanta,GA,East,30301.0,163.26
R0179,ORD55353,WE-TBL-04,wrong_size,colour slightly different,damaged,2025-10-16,15.0,Seattle,WA,West,98101.0,204.59
R0180,ORD22245,WE-DESK-11,defective_or_damaged,slight scratch on arrival,open_box,2025-11-29,35.0,Detroit,MI,North,48201.0,179.18
R0181,ORD20646,WE-MIRROR-3,defective_or_damaged,slight imperfection in glass,like_new,2026-03-23,2.0,Denver,CO,West,80202.0,214.85
R0182,ORD13969,WE-MIRROR-3,defective_or_damaged,frame had minor dent,defective,2025-12-04,41.0,Portland,OR,West,97201.0,208.9
R0183,ORD19564,WE-RUG-99,does_not_match_description,colour is off from photos,like_new,2026-02-13,30.0,Milwaukee,WI,North,53202.0,135.81
R0184,ORD55268,WE-LAMP-07,no_longer_needed,changed my mind on the style,defective,2026-01-31,21.0,Boston,MA,East,2101.0,133.08
R0185,ORD68929,WE-BED-33,wrong_size,headboard too tall,open_box,2026-03-18,18.0,Portland,OR,West,97201.0,134.09
R0186,ORD52917,WE-TBL-04,defective_or_damaged,surface scratch on top,damaged,2026-02-07,11.0,Portland,OR,West,97201.0,138.98
R0187,ORD21802,WE-SOFA-22,wrong_size,sofa is huge compared to the listing,defective,2025-11-26,2.0,Philadelphia,PA,East,19101.0,170.54
R0188,ORD98148,WE-CHAIR-05,no_longer_needed,moved house,defective,2025-12-11,42.0,Nashville,TN,South,37201.0,148.57
R0189,ORD15930,WE-TBL-04,no_longer_needed,ordered by mistake,defective,2026-01-11,24.0,Seattle,WA,West,98101.0,125.12
R0190,ORD99181,WE-RUG-99,no_longer_needed,no longer need it,like_new,2026-02-28,40.0,Columbus,OH,North,43201.0,132.87
R0191,ORD88966,WE-TABLE-88,does_not_match_description,looks grey not warm brown,defective,2026-03-08,13.0,Seattle,WA,West,98101.0,170.01
R0192,ORD89463,WE-TBL-04,defective_or_damaged,hinge hardware stripped during assembly,open_box,2025-12-15,10.0,Denver,CO,West,80202.0,152.8
R0193,ORD76494,WE-MIRROR-3,defective_or_damaged,slight imperfection in glass,defective,2025-11-22,22.0,Seattle,WA,West,98101.0,190.87
R0194,ORD50327,WE-DESK-11,defective_or_damaged,wobbly leg,like_new,2026-01-22,38.0,Chicago,IL,North,60601.0,179.69
R0195,ORD91230,WE-DESK-11,wrong_size,changed my mind,defective,2025-12-28,41.0,Minneapolis,MN,North,55401.0,134.78
R0196,ORD67807,WE-BENCH-21,no_longer_needed,cancelled renovation project,damaged,2026-02-13,2.0,New York,NY,East,10001.0,161.88
R0197,ORD28098,WE-LAMP-07,no_longer_needed,cheap lamp not worth return shipping,open_box,2025-12-05,4.0,Atlanta,GA,East,30301.0,176.09
R0198,ORD54869,WE-BENCH-21,no_longer_needed,moved house,damaged,2026-01-08,35.0,Boston,MA,East,2101.0,187.59
R0199,ORD46569,WE-BENCH-21,no_longer_needed,cancelled renovation project,damaged,2026-02-26,16.0,Miami,FL,East,33101.0,142.49
